country,doc_id,document_url,downloaded_at,evaluation_type,executive_summary,file_path,implementing_partners,language,page_count,publication_year,region,sdg_tags,source,thematic_area,title
Colombia,UNDP-EVAL-20240011,https://erc.undp.org/api/documents/11/pdf,2025-11-19T15:45:42.244690,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 11 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Americas/2023/undp_eval_20240011_Evaluation_11__Climate___Resil.pdf,UNDP|Government Agency,en,51,2023,Americas,SDG12|SDG17|SDG5,UNDP ERC,Economic Development,Evaluation 11: Climate & Resilience Project - Year 2023
Kenya,UNDP-EVAL-20240012,https://erc.undp.org/api/documents/12/pdf,2025-11-19T15:45:42.255457,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 12 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2022/undp_eval_20240012_Evaluation_12__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,52,2022,Africa,SDG13|SDG1|SDG6,UNDP ERC,Climate Action,Evaluation 12: Climate & Resilience Project - Year 2022
Tanzania,UNDP-EVAL-20240013,https://erc.undp.org/api/documents/13/pdf,2025-11-19T15:45:42.266304,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 13 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2021/undp_eval_20240013_Evaluation_13__Climate___Resil.pdf,UNDP|Government Agency,en,53,2021,Africa,SDG14|SDG2|SDG7,UNDP ERC,Governance,Evaluation 13: Climate & Resilience Project - Year 2021
Uganda,UNDP-EVAL-20240014,https://erc.undp.org/api/documents/14/pdf,2025-11-19T15:45:42.278087,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 14 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2020/undp_eval_20240014_Evaluation_14__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,54,2020,Africa,SDG15|SDG3|SDG8,UNDP ERC,Gender Equality,Evaluation 14: Climate & Resilience Project - Year 2020
Ethiopia,UNDP-EVAL-20240015,https://erc.undp.org/api/documents/15/pdf,2025-11-19T15:45:42.288970,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 15 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2019/undp_eval_20240015_Evaluation_15__Climate___Resil.pdf,UNDP|Government Agency,en,55,2019,Africa,SDG16|SDG4|SDG9,UNDP ERC,Resilience,Evaluation 15: Climate & Resilience Project - Year 2019
Nigeria,UNDP-EVAL-20240016,https://erc.undp.org/api/documents/16/pdf,2025-11-19T15:45:42.300862,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 16 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2018/undp_eval_20240016_Evaluation_16__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,56,2018,Africa,SDG17|SDG5|SDG10,UNDP ERC,Environment,Evaluation 16: Climate & Resilience Project - Year 2018
Ghana,UNDP-EVAL-20240017,https://erc.undp.org/api/documents/17/pdf,2025-11-19T15:45:42.312573,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 17 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2017/undp_eval_20240017_Evaluation_17__Climate___Resil.pdf,UNDP|Government Agency,en,57,2017,Africa,SDG1|SDG6|SDG11,UNDP ERC,Economic Development,Evaluation 17: Climate & Resilience Project - Year 2017
Senegal,UNDP-EVAL-20240018,https://erc.undp.org/api/documents/18/pdf,2025-11-19T15:45:42.323390,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 18 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2016/undp_eval_20240018_Evaluation_18__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,58,2016,Africa,SDG2|SDG7|SDG12,UNDP ERC,Climate Action,Evaluation 18: Climate & Resilience Project - Year 2016
Bangladesh,UNDP-EVAL-20240019,https://erc.undp.org/api/documents/19/pdf,2025-11-19T15:45:42.334201,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 19 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2015/undp_eval_20240019_Evaluation_19__Climate___Resil.pdf,UNDP|Government Agency,en,59,2015,Asia,SDG3|SDG8|SDG13,UNDP ERC,Governance,Evaluation 19: Climate & Resilience Project - Year 2015
India,UNDP-EVAL-20240020,https://erc.undp.org/api/documents/20/pdf,2025-11-19T15:45:42.344948,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 20 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2024/undp_eval_20240020_Evaluation_20__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,60,2024,Asia,SDG4|SDG9|SDG14,UNDP ERC,Gender Equality,Evaluation 20: Climate & Resilience Project - Year 2024
Vietnam,UNDP-EVAL-20240021,https://erc.undp.org/api/documents/21/pdf,2025-11-19T15:45:42.356744,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 21 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2023/undp_eval_20240021_Evaluation_21__Climate___Resil.pdf,UNDP|Government Agency,en,61,2023,Asia,SDG5|SDG10|SDG15,UNDP ERC,Resilience,Evaluation 21: Climate & Resilience Project - Year 2023
Brazil,UNDP-EVAL-20240022,https://erc.undp.org/api/documents/22/pdf,2025-11-19T15:45:42.367475,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 22 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Americas/2022/undp_eval_20240022_Evaluation_22__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,62,2022,Americas,SDG6|SDG11|SDG16,UNDP ERC,Environment,Evaluation 22: Climate & Resilience Project - Year 2022
Colombia,UNDP-EVAL-20240023,https://erc.undp.org/api/documents/23/pdf,2025-11-19T15:45:42.378278,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 23 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Americas/2021/undp_eval_20240023_Evaluation_23__Climate___Resil.pdf,UNDP|Government Agency,en,63,2021,Americas,SDG7|SDG12|SDG17,UNDP ERC,Economic Development,Evaluation 23: Climate & Resilience Project - Year 2021
Kenya,UNDP-EVAL-20240024,https://erc.undp.org/api/documents/24/pdf,2025-11-19T15:45:42.389098,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 24 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2020/undp_eval_20240024_Evaluation_24__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,64,2020,Africa,SDG8|SDG13|SDG1,UNDP ERC,Climate Action,Evaluation 24: Climate & Resilience Project - Year 2020
Tanzania,UNDP-EVAL-20240025,https://erc.undp.org/api/documents/25/pdf,2025-11-19T15:45:42.400896,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 25 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2019/undp_eval_20240025_Evaluation_25__Climate___Resil.pdf,UNDP|Government Agency,en,65,2019,Africa,SDG9|SDG14|SDG2,UNDP ERC,Governance,Evaluation 25: Climate & Resilience Project - Year 2019
Uganda,UNDP-EVAL-20240026,https://erc.undp.org/api/documents/26/pdf,2025-11-19T15:45:42.412847,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 26 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2018/undp_eval_20240026_Evaluation_26__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,66,2018,Africa,SDG10|SDG15|SDG3,UNDP ERC,Gender Equality,Evaluation 26: Climate & Resilience Project - Year 2018
Ethiopia,UNDP-EVAL-20240027,https://erc.undp.org/api/documents/27/pdf,2025-11-19T15:45:42.424560,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 27 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2017/undp_eval_20240027_Evaluation_27__Climate___Resil.pdf,UNDP|Government Agency,en,67,2017,Africa,SDG11|SDG16|SDG4,UNDP ERC,Resilience,Evaluation 27: Climate & Resilience Project - Year 2017
Nigeria,UNDP-EVAL-20240028,https://erc.undp.org/api/documents/28/pdf,2025-11-19T15:45:42.436486,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 28 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2016/undp_eval_20240028_Evaluation_28__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,68,2016,Africa,SDG12|SDG17|SDG5,UNDP ERC,Environment,Evaluation 28: Climate & Resilience Project - Year 2016
Ghana,UNDP-EVAL-20240029,https://erc.undp.org/api/documents/29/pdf,2025-11-19T15:45:42.448283,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 29 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2015/undp_eval_20240029_Evaluation_29__Climate___Resil.pdf,UNDP|Government Agency,en,69,2015,Africa,SDG13|SDG1|SDG6,UNDP ERC,Economic Development,Evaluation 29: Climate & Resilience Project - Year 2015
Senegal,UNDP-EVAL-20240030,https://erc.undp.org/api/documents/30/pdf,2025-11-19T15:45:42.460224,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 30 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2024/undp_eval_20240030_Evaluation_30__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,70,2024,Africa,SDG14|SDG2|SDG7,UNDP ERC,Climate Action,Evaluation 30: Climate & Resilience Project - Year 2024
Bangladesh,UNDP-EVAL-20240031,https://erc.undp.org/api/documents/31/pdf,2025-11-19T15:45:42.471877,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 31 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2023/undp_eval_20240031_Evaluation_31__Climate___Resil.pdf,UNDP|Government Agency,en,71,2023,Asia,SDG15|SDG3|SDG8,UNDP ERC,Governance,Evaluation 31: Climate & Resilience Project - Year 2023
India,UNDP-EVAL-20240032,https://erc.undp.org/api/documents/32/pdf,2025-11-19T15:45:42.482956,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 32 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2022/undp_eval_20240032_Evaluation_32__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,72,2022,Asia,SDG16|SDG4|SDG9,UNDP ERC,Gender Equality,Evaluation 32: Climate & Resilience Project - Year 2022
Vietnam,UNDP-EVAL-20240033,https://erc.undp.org/api/documents/33/pdf,2025-11-19T15:45:42.494672,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 33 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2021/undp_eval_20240033_Evaluation_33__Climate___Resil.pdf,UNDP|Government Agency,en,73,2021,Asia,SDG17|SDG5|SDG10,UNDP ERC,Resilience,Evaluation 33: Climate & Resilience Project - Year 2021
Brazil,UNDP-EVAL-20240034,https://erc.undp.org/api/documents/34/pdf,2025-11-19T15:45:42.506281,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 34 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Americas/2020/undp_eval_20240034_Evaluation_34__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,74,2020,Americas,SDG1|SDG6|SDG11,UNDP ERC,Environment,Evaluation 34: Climate & Resilience Project - Year 2020
Colombia,UNDP-EVAL-20240035,https://erc.undp.org/api/documents/35/pdf,2025-11-19T15:45:42.517949,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 35 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Americas/2019/undp_eval_20240035_Evaluation_35__Climate___Resil.pdf,UNDP|Government Agency,en,75,2019,Americas,SDG2|SDG7|SDG12,UNDP ERC,Economic Development,Evaluation 35: Climate & Resilience Project - Year 2019
Kenya,UNDP-EVAL-20240036,https://erc.undp.org/api/documents/36/pdf,2025-11-19T15:45:42.528941,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 36 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2018/undp_eval_20240036_Evaluation_36__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,76,2018,Africa,SDG3|SDG8|SDG13,UNDP ERC,Climate Action,Evaluation 36: Climate & Resilience Project - Year 2018
Tanzania,UNDP-EVAL-20240037,https://erc.undp.org/api/documents/37/pdf,2025-11-19T15:45:42.540666,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 37 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2017/undp_eval_20240037_Evaluation_37__Climate___Resil.pdf,UNDP|Government Agency,en,77,2017,Africa,SDG4|SDG9|SDG14,UNDP ERC,Governance,Evaluation 37: Climate & Resilience Project - Year 2017
Uganda,UNDP-EVAL-20240038,https://erc.undp.org/api/documents/38/pdf,2025-11-19T15:45:42.552468,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 38 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2016/undp_eval_20240038_Evaluation_38__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,78,2016,Africa,SDG5|SDG10|SDG15,UNDP ERC,Gender Equality,Evaluation 38: Climate & Resilience Project - Year 2016
Ethiopia,UNDP-EVAL-20240039,https://erc.undp.org/api/documents/39/pdf,2025-11-19T15:45:42.564233,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 39 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2015/undp_eval_20240039_Evaluation_39__Climate___Resil.pdf,UNDP|Government Agency,en,79,2015,Africa,SDG6|SDG11|SDG16,UNDP ERC,Resilience,Evaluation 39: Climate & Resilience Project - Year 2015
Nigeria,UNDP-EVAL-20240040,https://erc.undp.org/api/documents/40/pdf,2025-11-19T15:45:42.576046,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 40 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2024/undp_eval_20240040_Evaluation_40__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,80,2024,Africa,SDG7|SDG12|SDG17,UNDP ERC,Environment,Evaluation 40: Climate & Resilience Project - Year 2024
Ghana,UNDP-EVAL-20240041,https://erc.undp.org/api/documents/41/pdf,2025-11-19T15:45:42.587213,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 41 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2023/undp_eval_20240041_Evaluation_41__Climate___Resil.pdf,UNDP|Government Agency,en,81,2023,Africa,SDG8|SDG13|SDG1,UNDP ERC,Economic Development,Evaluation 41: Climate & Resilience Project - Year 2023
Senegal,UNDP-EVAL-20240042,https://erc.undp.org/api/documents/42/pdf,2025-11-19T15:45:42.598987,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 42 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2022/undp_eval_20240042_Evaluation_42__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,82,2022,Africa,SDG9|SDG14|SDG2,UNDP ERC,Climate Action,Evaluation 42: Climate & Resilience Project - Year 2022
Bangladesh,UNDP-EVAL-20240043,https://erc.undp.org/api/documents/43/pdf,2025-11-19T15:45:42.610916,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 43 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2021/undp_eval_20240043_Evaluation_43__Climate___Resil.pdf,UNDP|Government Agency,en,83,2021,Asia,SDG10|SDG15|SDG3,UNDP ERC,Governance,Evaluation 43: Climate & Resilience Project - Year 2021
India,UNDP-EVAL-20240044,https://erc.undp.org/api/documents/44/pdf,2025-11-19T15:45:42.622666,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 44 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2020/undp_eval_20240044_Evaluation_44__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,84,2020,Asia,SDG11|SDG16|SDG4,UNDP ERC,Gender Equality,Evaluation 44: Climate & Resilience Project - Year 2020
Vietnam,UNDP-EVAL-20240045,https://erc.undp.org/api/documents/45/pdf,2025-11-19T15:45:42.634717,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 45 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Asia/2019/undp_eval_20240045_Evaluation_45__Climate___Resil.pdf,UNDP|Government Agency,en,85,2019,Asia,SDG12|SDG17|SDG5,UNDP ERC,Resilience,Evaluation 45: Climate & Resilience Project - Year 2019
Brazil,UNDP-EVAL-20240046,https://erc.undp.org/api/documents/46/pdf,2025-11-19T15:45:42.646468,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 46 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Americas/2018/undp_eval_20240046_Evaluation_46__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,86,2018,Americas,SDG13|SDG1|SDG6,UNDP ERC,Environment,Evaluation 46: Climate & Resilience Project - Year 2018
Colombia,UNDP-EVAL-20240047,https://erc.undp.org/api/documents/47/pdf,2025-11-19T15:45:42.658299,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 47 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Americas/2017/undp_eval_20240047_Evaluation_47__Climate___Resil.pdf,UNDP|Government Agency,en,87,2017,Americas,SDG14|SDG2|SDG7,UNDP ERC,Economic Development,Evaluation 47: Climate & Resilience Project - Year 2017
Kenya,UNDP-EVAL-20240048,https://erc.undp.org/api/documents/48/pdf,2025-11-19T15:45:42.670167,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 48 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2016/undp_eval_20240048_Evaluation_48__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,88,2016,Africa,SDG15|SDG3|SDG8,UNDP ERC,Climate Action,Evaluation 48: Climate & Resilience Project - Year 2016
Tanzania,UNDP-EVAL-20240049,https://erc.undp.org/api/documents/49/pdf,2025-11-19T15:45:42.681943,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 49 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2015/undp_eval_20240049_Evaluation_49__Climate___Resil.pdf,UNDP|Government Agency,en,89,2015,Africa,SDG16|SDG4|SDG9,UNDP ERC,Governance,Evaluation 49: Climate & Resilience Project - Year 2015
Uganda,UNDP-EVAL-20240050,https://erc.undp.org/api/documents/50/pdf,2025-11-19T15:45:42.693694,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 50 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2024/undp_eval_20240050_Evaluation_50__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,90,2024,Africa,SDG17|SDG5|SDG10,UNDP ERC,Gender Equality,Evaluation 50: Climate & Resilience Project - Year 2024
Ethiopia,UNDP-EVAL-20240051,https://erc.undp.org/api/documents/51/pdf,2025-11-19T15:45:42.705413,outcome,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 51 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2023/undp_eval_20240051_Evaluation_51__Climate___Resil.pdf,UNDP|Government Agency,en,91,2023,Africa,SDG1|SDG6|SDG11,UNDP ERC,Resilience,Evaluation 51: Climate & Resilience Project - Year 2023
Nigeria,UNDP-EVAL-20240052,https://erc.undp.org/api/documents/52/pdf,2025-11-19T15:45:42.716089,thematic,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 52 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2022/undp_eval_20240052_Evaluation_52__Climate___Resil.pdf,UNDP|Ministry of Environment|Local NGO,en,92,2022,Africa,SDG2|SDG7|SDG12,UNDP ERC,Environment,Evaluation 52: Climate & Resilience Project - Year 2022
Ghana,UNDP-EVAL-20240053,https://erc.undp.org/api/documents/53/pdf,2025-11-19T15:45:42.726904,project,This evaluation examines the outcomes of development initiatives in the region. Key findings include improved capacity in 53 focus areas. Recommendations emphasize sustainability and local engagement.,/home/user/evidence-ai/data/raw/undp/documents/Africa/2021/undp_eval_20240053_Evaluation_53__Climate___Resil.pdf,UNDP|Government Agency,en,93,2021,Africa,SDG3|SDG8|SDG13,UNDP ERC,Economic Development,Evaluation 53: Climate & Resilience Project - Year 2021
