source_id,title,document_type,split,items_count,file_path,file_size_bytes,sha256,download_url,license,notes
ipcc/ar6/wgII/ch15,IPCC AR6 WGII Chapter 15: Small Islands,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH15_Small_Islands.pdf,5365551,1d7ce3fced342329f4ee03b467b4b81efa1773d09f6a807f1e81fbbbea5d199e,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter15.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch16,IPCC AR6 WGII Chapter 16: Key Risks across Sectors and Regions,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH16_Key_Risks_Across_Sectors.pdf,4630094,149b852f73abb7074ca52749227ead155384fd931fc3c0047ddba174f5f2f49f,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter16.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch17,IPCC AR6 WGII Chapter 17: Decision-Making Options for Managing Risk,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH17_Decision_Making_for_Risk.pdf,3310104,3d6cdd5bfe45af0c02c24017b1df5c660b1d3394974a617adc6afc204c3f309b,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter17.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
ipcc/ar6/wgII/ch18,IPCC AR6 WGII Chapter 18: Climate Resilient Development Pathways,report,chapter,1,data/reports/ipcc/ar6_wgII/IPCC_AR6_WGII_CH18_Climate_Resilient_Development_Pathways.pdf,8777796,4c269d3f21bad91589ba1dd99601673f97c960087967c771f46209c416c82173,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter18.pdf,IPCC Terms of Use,Authoritative chapter PDF mirrored from IPCC AR6 Working Group II.
copernicus/cds/factsheet2019,Copernicus Climate Data Store Factsheet (2019),report,factsheet,1,data/reports/copernicus/Copernicus_CDS_Factsheet_2019.pdf,812178,f7debff092705aa29123660fe37ce3486f2cec1db4bb13e9fa2ac5d8365c2ca1,https://climate.copernicus.eu/sites/default/files/2020-04/C3S_Factsheet_CDS_20190613.pdf,Copernicus Data Policy,Overview of the Climate Data Store architecture and 8 PB/year data flow.
epa/climate_indicators/webinar2021,EPA Climate Change Indicators Webinar Deck (2021),report,slides,1,data/reports/epa/EPA_Climate_Indicators_Webinar_2021.pdf,4918564,7b6e80e2e550cbade0ac9632c650e573eae07d392321f002d35426632d0fea5c,https://www.epa.gov/system/files/documents/2021-07/webinar-climate-indicators-2021-06-17.pdf,EPA Terms of Use,"Slide deck describing 54 climate indicators, 140 figures, 275 datasets."
noaa/ghcn-daily/documentation,GHCN-Daily Documentation PDF,dataset,documentation,1,data/datasets/noaa/ghcn-daily/GHCND_documentation.pdf,104748,d67e69ce657d175dd301c2b9cdb162ff5be95327c9247f82235b1228577d717b,https://www.ncei.noaa.gov/data/global-historical-climatology-network-daily/doc/GHCND_documentation.pdf,NOAA Public Domain,Official documentation for Global Historical Climatology Network Daily dataset.
noaa/ghcn-daily/readme,GHCN-Daily README,dataset,documentation,1,data/datasets/noaa/ghcn-daily/readme.txt,28324,71c11f019992f3d575cfc0c08cb1dc6b44b98d2f8e21b843d110164da1bd4088,https://www.ncei.noaa.gov/pub/data/ghcn/daily/readme.txt,NOAA Public Domain,README file describing GHCN-Daily data format and variables.
noaa/ghcn-daily/stations,GHCN-Daily Station Metadata,dataset,metadata,1,data/datasets/noaa/ghcn-daily/ghcnd-stations.txt,11150588,f8f320b9aa020b8ac7f456ed6af3c96194c7fa8536ddb6937226ef7767b5c8a1,https://www.ncei.noaa.gov/pub/data/ghcn/daily/ghcnd-stations.txt,NOAA Public Domain,Complete list of ~120000 GHCN-Daily stations with coordinates and metadata.
noaa/ghcn-daily/sample,GHCN-Daily Sample Data (Central Park NYC),dataset,sample_data,57297,data/datasets/noaa/ghcn-daily/USW00094728.csv,17715424,391e85580d6f75bc0bb36752837a9bb5e0650d1b0ea038697429cd3bec202d4c,https://www.ncei.noaa.gov/data/global-historical-climatology-network-daily/access/USW00094728.csv,NOAA Public Domain,Daily weather observations from Central Park NYC station (1869-present).
noaa/isd/documentation,ISD Format Documentation PDF,dataset,documentation,1,data/datasets/noaa/isd/isd-format-document.pdf,887431,68c501705fb057f4619a143575a158ab9c5601f16dd9733108142c211e5032f3,https://www.ncei.noaa.gov/data/global-hourly/doc/isd-format-document.pdf,NOAA Public Domain,Technical documentation for Integrated Surface Database format and variables.
noaa/isd/readme,ISD README,dataset,documentation,1,data/datasets/noaa/isd/readme.txt,5330,55b38c4b20c8486acf5a22942301ebfaadd0256d66ba981d9de5cd5679579cd3,https://www.ncei.noaa.gov/pub/data/noaa/readme.txt,NOAA Public Domain,README file for Integrated Surface Database.
noaa/isd/history,ISD Station History,dataset,metadata,1,data/datasets/noaa/isd/isd-history.csv,2914601,1994747ab4af1b97e63adb434b4d0d022f2daee76f0c144ea9ab46be2d906604,https://www.ncei.noaa.gov/pub/data/noaa/isd-history.csv,NOAA Public Domain,Complete station history for ISD with ~35000 stations worldwide.
noaa/isd/sample,ISD Sample Data (LaGuardia Airport 2023),dataset,sample_data,13647,data/datasets/noaa/isd/72503014732-2023.csv,8079148,66d941445a2e39007345f196e5484dd1e4dc638fbba109c5bf1a98ff9d9b1961,https://www.ncei.noaa.gov/data/global-hourly/access/2023/72503014732.csv,NOAA Public Domain,Hourly weather observations from LaGuardia Airport for 2023.
noaa/gsom/documentation,GSOM Documentation PDF,dataset,documentation,1,data/datasets/noaa/gsom/GSOM_documentation.pdf,156830,35facf144e7be52a71a557cccfe7660dd60d7b3fded91cfa2f28e854898c860c,https://www.ncei.noaa.gov/data/gsom/doc/GSOM_documentation.pdf,NOAA Public Domain,Documentation for Global Summary of the Month dataset.
noaa/gsom/sample,GSOM Sample Data (Central Park NYC),dataset,sample_data,1882,data/datasets/noaa/gsom/USW00094728.csv,1163149,9d3fb7eb328d02339a5b034b5586044954d15348ac4e02b6a481e9d438aa863f,https://www.ncei.noaa.gov/data/gsom/access/USW00094728.csv,NOAA Public Domain,Monthly climate summaries from Central Park NYC (1869-present).
noaa/gsoy/documentation,GSOY Documentation PDF,dataset,documentation,1,data/datasets/noaa/gsoy/GSOY_documentation.pdf,202442,81b88b24891d09f695a64ea732d4508964c94fec5e97ece514ea15ef1dc59fed,https://www.ncei.noaa.gov/data/gsoy/doc/GSOY_documentation.pdf,NOAA Public Domain,Documentation for Global Summary of the Year dataset.
noaa/gsoy/sample,GSOY Sample Data (Central Park NYC),dataset,sample_data,157,data/datasets/noaa/gsoy/USW00094728.csv,122238,90b728e953e42677c41cab16c90e2000ebf9ee47976ee41a14ebce6161923d66,https://www.ncei.noaa.gov/data/gsoy/access/USW00094728.csv,NOAA Public Domain,Annual climate summaries from Central Park NYC (1869-present).
noaa/storm-events/documentation,Storm Events Database Documentation,dataset,documentation,1,data/datasets/noaa/storm-events/Storm_Data_Export_Format.pdf,150527,b0168139621beb5b4453085825dc3901c29e7730e4584e5f621b67657054987c,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/Storm-Data-Export-Format.pdf,NOAA Public Domain,Documentation for Storm Events Database export format.
noaa/storm-events/sample,Storm Events 2024 Data,dataset,sample_data,69493,data/datasets/noaa/storm-events/StormEvents_details_2024.csv,69361691,6cb952bef90c9735b32b8cdf813010561a0bc0f1c926c42e11277a57efecf6ef,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2024_c20250818.csv.gz,NOAA Public Domain,Complete storm event details for 2024 including tornadoes hurricanes floods etc.
noaa/storm-events/sample-2025,Storm Events 2025 Data,dataset,sample_data,33904,data/datasets/noaa/storm-events/StormEvents_details_2025.csv,35331072,5d8203b59b5a3fff890475f445fded181a5e25420596b648447ffa261e53ace8,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2025_c20250818.csv.gz,NOAA Public Domain,Storm event details for 2025 (year to date) including tornadoes hurricanes floods etc.
noaa/lcd/documentation,Local Climatological Data v2 Documentation,dataset,documentation,1,data/datasets/noaa/lcd/lcdv2_DOCUMENTATION.pdf,686406,b50906a80f06eac6d5c4c238f61ec0c1ac13ff481dd88b2cb1295a8c25d9395f,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/doc/lcdv2_DOCUMENTATION.pdf,NOAA Public Domain,Documentation for Local Climatological Data Version 2.
noaa/lcd/stations,LCD Station List,dataset,metadata,1,data/datasets/noaa/lcd/lcdv2-station-list.txt,2070192,708c24f51a0eb72be8cb3d078e657723172da0f14fa167e67a97dbd596e46e1c,https://www.ncei.noaa.gov/oa/local-climatological-data/v2/doc/lcdv2-station-list.txt,NOAA Public Domain,Complete list of LCD stations with metadata.
noaa/lcd/sample,LCD Sample Data (LaGuardia Airport 2023),dataset,sample_data,13643,data/datasets/noaa/lcd/72503014732-2023.csv,8723313,825562ad877bbc333ad9a3b85009cf103e4dfd13af6f10ae143efd5449714d69,https://www.ncei.noaa.gov/data/local-climatological-data/access/2023/72503014732.csv,NOAA Public Domain,Local climatological data from LaGuardia Airport for 2023 with hourly and daily summaries.
copernicus/era5/monthly_2m_temperature,ERA5 Monthly Mean 2m Temperature,dataset,netcdf,1,data/datasets/copernicus/era5_monthly/era5_monthly_2m_temperature_1980_2023.nc,pending,pending,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels-monthly-means,Copernicus Data Policy,"Global 1deg grid 1980-2023, monthly mean 2m temperature (t2m) in Kelvin."
copernicus/era5/monthly_precipitation,ERA5 Monthly Mean Total Precipitation,dataset,netcdf,1,data/datasets/copernicus/era5_monthly/era5_monthly_total_precipitation_1980_2023.nc,pending,pending,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels-monthly-means,Copernicus Data Policy,"Global 1deg grid 1980-2023, monthly mean total precipitation (tp) in m."
copernicus/era5/monthly_msl,ERA5 Monthly Mean Sea Level Pressure,dataset,netcdf,1,data/datasets/copernicus/era5_monthly/era5_monthly_msl_1980_2023.nc,pending,pending,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels-monthly-means,Copernicus Data Policy,"Global 1deg grid 1980-2023, monthly mean sea level pressure (msl) in Pa."
copernicus/c3s/temperature_anomaly,C3S Surface Temperature Anomaly,dataset,netcdf,1,data/datasets/copernicus/temperature_anomalies/surface_temperature_anomaly_global.nc,pending,pending,https://cds.climate.copernicus.eu/cdsapp#!/dataset/ecv-for-climate-change,Copernicus Data Policy,"Global 1979-2023 monthly surface air temperature anomalies from ERA5 baseline."
copernicus/c3s/precipitation_anomaly,C3S Precipitation Anomaly,dataset,netcdf,1,data/datasets/copernicus/precipitation_anomalies/precipitation_anomaly_global.nc,pending,pending,https://cds.climate.copernicus.eu/cdsapp#!/dataset/ecv-for-climate-change,Copernicus Data Policy,"Global 1979-2023 monthly precipitation anomalies from ERA5 baseline."
copernicus/c3s/sea_ice_extent,C3S Sea Ice Extent Indicator,dataset,netcdf,1,data/datasets/copernicus/climate_indicators/sea_ice_extent.nc,pending,pending,https://cds.climate.copernicus.eu/cdsapp#!/dataset/ecv-for-climate-change,Copernicus Data Policy,"Arctic/Antarctic 1979-2023 monthly sea ice extent from C3S climate indicators."
copernicus/ecv/monthly_means,Essential Climate Variables Monthly Means,dataset,grib,1,data/datasets/copernicus/ecv_climate_change/ecv_monthly_means_2019_2024.zip,791442650,2ae4c08ce99a8a9ef3046ecd97c801282db6201f72913417ec6278224a287e0d,https://cds.climate.copernicus.eu/cdsapp#!/dataset/ecv-for-climate-change,Copernicus Data Policy,"Global 2019-2024 monthly means of temperature/humidity/precipitation/soil moisture/sea ice from ERA5/ERA5-Land. Ideal for climate change assessment RAG."
usgs/channel-and-floodplain-cross-section-and-bed-elevation-analy,"Channel and floodplain cross-section and bed-elevation analyses of the Green River in Echo, Island, and Rainbow Parks, Dinosaur National Monument, Colorado and Utah",report,main,1,data/reports/usgs/channel-and-floodplain-cross-section-and-bed-elevation-analy/channel-and-floodplain-cross-section-and-bed-elevation-analy.pdf,5050456,7a62b3b57868bf69fd2d197740dd90ff94d0292b4a7a0f70271cef3e8b5dd9bf,https://pubs.usgs.gov/sir/2025/5078/sir20255078.pdf,USGS Public Domain,"This report by the U.S. Geological Survey focuses on describing geomorphic changes in the alluvial segments of the Green River within Echo, Island, and Rainbow Parks of Dinosaur National Monument, bet"
usgs/the-3d-elevation-program-supporting-the-economy-of-massachus,The 3D Elevation Program—Supporting the economy of Massachusetts,report,main,1,data/reports/usgs/the-3d-elevation-program-supporting-the-economy-of-massachus/the-3d-elevation-program-supporting-the-economy-of-massachus.pdf,706419,408f16ada7803c1d2d3ab4ce0e8a4ee5c92e04b1edb789a99fbebb8e1a648b22,https://pubs.usgs.gov/fs/2025/3044/fs20253044.pdf,USGS Public Domain,Introduction&nbsp;Massachusetts extends from the mountains of the Appalachian system in the west of the State to the sandy beaches and rocky shorelines of the Atlantic coast in the east. Inland topogr
usgs/using-satellite-imagery-and-soil-data-to-understand-occurren,"Using satellite imagery and soil data to understand occurrences and migration of soil conditions harmful to archaeological sites on Jamestown Island, Virginia",report,main,1,data/reports/usgs/using-satellite-imagery-and-soil-data-to-understand-occurren/using-satellite-imagery-and-soil-data-to-understand-occurren.pdf,4403729,f48c499cf568d3fafc01148c22389421adc28522d42c61469df6bed90cc58e11,https://pubs.usgs.gov/sir/2025/5074/sir20255074.pdf,USGS Public Domain,"Many know Jamestown Island, Virginia, hereafter referred to as “the Island,” located near the mouth of the James River into the Chesapeake Bay, as the home of the first permanent English settlement in"
usgs/the-3d-elevation-program-supporting-louisiana-s-economy,The 3D Elevation Program—Supporting Louisiana's economy,report,main,1,data/reports/usgs/the-3d-elevation-program-supporting-louisiana-s-economy/the-3d-elevation-program-supporting-louisiana-s-economy.pdf,1072338,7490b24b0653009cd8af02d2611b4a081e5c91b7af8547d7c4e148f1f20a1ef7,https://pubs.usgs.gov/fs/2025/3034/fs20253034.pdf,USGS Public Domain,Introduction&nbsp;Recent and ongoing collections of high-resolution elevation data in Louisiana are providing information that supports improved critical public safety modeling and enables the State t
usgs/u-s-geological-survey-groundwater-climate-response-network-2,"U.S. Geological Survey Groundwater Climate Response Network, 2024",report,main,1,data/reports/usgs/u-s-geological-survey-groundwater-climate-response-network-2/u-s-geological-survey-groundwater-climate-response-network-2.pdf,1112201,f3a01c9ae7e752d35165d464a349e592cc6a99af968df276c2eac454f9f86042,https://pubs.usgs.gov/gip/254/gip254.pdf,USGS Public Domain,"As of October 2024, the U.S. Geological Survey (USGS) operated 588 sites across the United States and its territories as part of the Groundwater Climate Response Network (CRN). The CRN is comprised of"
usgs/assessing-spatial-variability-of-nutrients-phytoplankton-and,"Assessing spatial variability of nutrients, phytoplankton, and related water-quality constituents in the California Sacramento–San Joaquin Delta at the landscape scale—Comparison of four (2018, 2020, 2021, 2022) spring high-resolution mapping surveys",report,main,1,data/reports/usgs/assessing-spatial-variability-of-nutrients-phytoplankton-and/assessing-spatial-variability-of-nutrients-phytoplankton-and.pdf,40157992,068e6c1ae37ae018a093f67f246dc1d11a0fd696c0984437ce1c893172a455da,https://pubs.usgs.gov/sir/2025/5035/sir20255035.pdf,USGS Public Domain,"Executive SummaryThis report summarizes results from boat-based, high-resolution water-quality mapping surveys completed before, during, and after upgrades to the EchoWater Resource Recovery Facility "
usgs/a-crosswalk-of-the-2015-world-terrestrial-ecosystems-to-the-,A crosswalk of the 2015 World Terrestrial Ecosystems to the International Union for the Conservation of Nature Global Ecosystem Typology Framework,report,main,1,data/reports/usgs/a-crosswalk-of-the-2015-world-terrestrial-ecosystems-to-the-/a-crosswalk-of-the-2015-world-terrestrial-ecosystems-to-the-.pdf,13230325,b69b044785c3cb3ad7680d17b7801952431e6fe6fbc7424404f500aca5aa40bd,https://pubs.usgs.gov/of/2025/1043/ofr20251043.pdf,USGS Public Domain,"To support ecosystem mapping and accounting applications, we aligned the 2015 U.S. Geological Survey/Esri/The Nature Conservancy-World Terrestrial Ecosystems (WTEs) with the International Union for Co"
usgs/cryospheric-sciences-at-the-u-s-geological-survey,Cryospheric sciences at the U.S. Geological Survey,report,main,1,data/reports/usgs/cryospheric-sciences-at-the-u-s-geological-survey/cryospheric-sciences-at-the-u-s-geological-survey.pdf,1943190,31dc32535b43c1f9cce9004add6d1dc0397c50c454b835f623135bbaf377c255,https://pubs.usgs.gov/fs/2024/3043/fs20243043.pdf,USGS Public Domain,"IntroductionThe cryosphere is the collective parts of the Earth where water is in its frozen state and includes snow, glaciers, ice sheets, ice shelves, freshwater ice, sea ice, and permafrost. The cr"
usgs/glacier-retreat-in-glacier-national-park-montana,"Glacier retreat in Glacier National Park, Montana",report,main,1,data/reports/usgs/glacier-retreat-in-glacier-national-park-montana/glacier-retreat-in-glacier-national-park-montana.pdf,9716528,eb34731fe2d8fc1c587b2d6e9a2215a69ef22450ea2d13129d4f0df950f9a4e0,https://pubs.usgs.gov/fs/2019/3068/fs20193068.pdf,USGS Public Domain,"Currently, the volume of land ice on Earth is decreasing, driving consequential changes to global sea level and local stream habitat. Glacier retreat in Glacier National Park, Montana, U.S.A., is one "
usgs/collaborative-drought-science-planning-in-the-colorado-river,Collaborative drought science planning in the Colorado River Basin,report,main,1,data/reports/usgs/collaborative-drought-science-planning-in-the-colorado-river/collaborative-drought-science-planning-in-the-colorado-river.pdf,9871912,85371a88fc4a3523ddad5df459aa39697a0434bf71f31fb4a0d923e9171a83d9,https://pubs.usgs.gov/of/2025/1041/ofr20251041.pdf,USGS Public Domain,"The U.S. Geological Survey (USGS) is using collaborative, interdisciplinary planning to develop data and tools needed to optimize the management of water resources and land use by resource management "
